brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
Lenovo,AMD,A6-9225 Processor,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,24990,3.7
Lenovo,AMD,APU Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,19590,3.6
Avita,AMD,APU Dual,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,19990,3.7
Avita,AMD,APU Dual,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,21490,3.7
Avita,AMD,APU Dual,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,24990,3.7
Avita,AMD,APU Dual,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,24990,3.7
HP,AMD,APU Dual,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,20900,3.9
Lenovo,AMD,APU Dual,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,21896,3.9
HP,AMD,Athlon Dual,32 GB GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,No,No,26899,0
acer,AMD,Athlon Dual,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,No,No,31990,4.2
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,34649,2.3
Lenovo,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,38999,3.8
Lenovo,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,39999,3.1
ASUS,Intel,Core i5,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,No,No,69990,0
ASUS,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,26990,0
ASUS,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,No,No,22990,0
ASUS,Intel,Celeron Dual,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,No,No,21990,3.5
ASUS,Intel,Core i5,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,No,No,58799,0
Lenovo,Intel,Core i5,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,49999,0
acer,AMD,Ryzen,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,No,No,54990,4.5
acer,AMD,Ryzen 5,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,No,No,59990,4.5
acer,AMD,Ryzen 5,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,6,Casual,No,No,93700,4.5
acer,AMD,Ryzen 5,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,No,No,72990,4.5
