,claw_length_cm,size_cm,specie,tail_length_cm
0,6.825,52.004,three_toed,4.448
1,8.26,50.082,three_toed,6.286
2,8.662,51.498,three_toed,4.551
3,8.467,50.122,three_toed,6.983
4,7.104,51.364,three_toed,5.411
5,7.268,50.54,three_toed,3.672
6,7.195,49.662,three_toed,4.179
7,7.455,50.99,three_toed,3.418
8,6.773,48.389,three_toed,6.601
9,8.16,49.495,three_toed,4.058
10,7.43,49.652,three_toed,4.446
11,7.31,50.094,three_toed,6.853
12,8.885,49.511,three_toed,6.179
13,7.041,50.774,three_toed,6.346
14,8.341,49.116,three_toed,5.527
15,8.372,51.097,three_toed,4.803
16,7.825,51.339,three_toed,4.516
17,6.261,50.176,three_toed,5.499
18,5.262,49.417,three_toed,5.13
19,8.271,51.06,three_toed,6.174
20,7.291,50.201,three_toed,6.148
21,7.734,48.931,three_toed,5.629
22,8.147,50.052,three_toed,5.087
23,8.447,51.47,three_toed,6.214
24,9.378,50.913,three_toed,6.37
25,7.144,49.755,three_toed,5.164
26,8.998,50.374,three_toed,5.086
27,8.647,50.638,three_toed,3.75
28,7.114,50.213,three_toed,5.428
29,6.663,51.189,three_toed,7.206
30,7.618,48.803,three_toed,5.526
31,7.845,47.737,three_toed,4.12
32,7.967,50.587,three_toed,7.134
33,6.981,51.205,three_toed,6.137
34,6.26,49.816,three_toed,6.376
35,7.569,51.233,three_toed,6.04
36,6.033,49.401,three_toed,6.049
37,8.829,50.425,three_toed,4.835
38,8.62,50.771,three_toed,4.727
39,7.102,52.019,three_toed,5.65
40,7.898,49.059,three_toed,4.292
41,7.587,50.877,three_toed,6.435
42,5.512,50.352,three_toed,5.65
43,7.865,51.299,three_toed,5.232
44,5.868,49,three_toed,6.386
45,7.059,50.259,three_toed,5.352
46,7.905,50.576,three_toed,4.807
47,8.534,50.106,three_toed,5.746
48,8.112,49.317,three_toed,5.457
49,7.221,51.054,three_toed,5.69
50,7.019,49.829,three_toed,6.777
51,7.229,49.655,three_toed,4.682
52,7.355,49.968,three_toed,6.478
53,6.559,49.835,three_toed,6.167
54,7.286,48.72,three_toed,5.38
55,7.313,48.703,three_toed,5.699
56,6.12,50.694,three_toed,6.026
