claw_length_cm,size_cm,tail_length_cm,species
6.825,52.004,4.448,three_toed
8.26,50.082,6.286,three_toed
8.662,51.498,4.551,three_toed
8.467,50.122,6.983,three_toed
7.104,51.364,5.411,three_toed
7.268,50.54,3.672,three_toed
7.195,49.662,4.179,three_toed
7.455,50.99,3.418,three_toed
6.773,48.389,6.601,three_toed
8.16,49.495,4.058,three_toed
7.43,49.652,4.446,three_toed
7.31,50.094,6.853,three_toed
8.885,49.511,6.179,three_toed
7.041,50.774,6.346,three_toed
8.341,49.116,5.527,three_toed
8.372,51.097,4.803,three_toed
7.825,51.339,4.516,three_toed
6.261,50.176,5.499,three_toed
5.262,49.417,5.13,three_toed
8.271,51.06,6.174,three_toed
7.291,50.201,6.148,three_toed
7.734,48.931,5.629,three_toed
8.147,50.052,5.087,three_toed
8.447,51.47,6.214,three_toed
9.378,50.913,6.37,three_toed
7.144,49.755,5.164,three_toed
8.998,50.374,5.086,three_toed
8.647,50.638,3.75,three_toed
7.114,50.213,5.428,three_toed
6.663,51.189,7.206,three_toed
7.618,48.803,5.526,three_toed
7.845,47.737,4.12,three_toed
7.967,50.587,7.134,three_toed
6.981,51.205,6.137,three_toed
6.26,49.816,6.376,three_toed
7.569,51.233,6.04,three_toed
6.033,49.401,6.049,three_toed
8.829,50.425,4.835,three_toed
8.62,50.771,4.727,three_toed
7.102,52.019,5.65,three_toed
7.898,49.059,4.292,three_toed
7.587,50.877,6.435,three_toed
5.512,50.352,5.65,three_toed
7.865,51.299,5.232,three_toed
5.868,49,6.386,three_toed
7.059,50.259,5.352,three_toed
7.905,50.576,4.807,three_toed
8.534,50.106,5.746,three_toed
8.112,49.317,5.457,three_toed
7.221,51.054,5.69,three_toed
7.019,49.829,6.777,three_toed
7.229,49.655,4.682,three_toed
7.355,49.968,6.478,three_toed
6.559,49.835,6.167,three_toed
7.286,48.72,5.38,three_toed
7.313,48.703,5.699,three_toed
6.12,50.694,6.026,three_toed
8.465,51.984,4.237,three_toed
5.297,49.46,5.747,three_toed
8.171,51.354,5.029,three_toed
8.437,50.565,5.246,three_toed
8.859,51.305,6.286,three_toed
8.065,51.681,3.646,three_toed
7.489,51.2,5.941,three_toed
6.901,48.936,5.849,three_toed
7.255,49.716,4.914,three_toed
8.609,51.726,6.883,three_toed
9.072,50.969,7.299,three_toed
6.319,49.303,4.1,three_toed
8.051,49.588,3.395,three_toed
8.544,52.075,4.812,three_toed
7.021,49.596,6.118,three_toed
8.83,50.115,6.198,three_toed
5.746,65.815,5.069,three_toed
9.977,63.677,5.464,three_toed
8.857,64.526,6.742,three_toed
8.941,63.789,5.25,three_toed
7.825,63.747,5.422,three_toed
7.016,66.549,3.458,three_toed
6.075,62.638,3.914,three_toed
8.178,63.911,4.035,three_toed
6.514,64.194,5.8,three_toed
7.306,61.993,4.181,three_toed
4.947,63.264,3.379,three_toed
7.925,62.745,5.687,three_toed
6.789,63.175,5.129,three_toed
7.139,64.098,3.992,three_toed
7.098,61.599,5.114,three_toed
6.801,63.303,2.107,three_toed
7.99,63.415,3.887,three_toed
8.055,62.183,4.548,three_toed
7.213,62.6,5.874,three_toed
8.192,63.249,5.283,three_toed
8.5,62.524,5.003,three_toed
4.628,61.865,2.616,three_toed
8.598,63.073,4.241,three_toed
6.629,63.003,5.885,three_toed
10.012,63.308,4.028,three_toed
7.919,63.978,5.069,three_toed
8.543,61.204,5.642,three_toed
6.928,64.074,4.99,three_toed
8.1,62.491,5.675,three_toed
7.637,65.444,5.307,three_toed
8.584,65.054,6.456,three_toed
8.004,64.306,6.093,three_toed
6.976,63.189,4.905,three_toed
7.791,63.942,5.947,three_toed
6.438,63.834,4.653,three_toed
8.11,63.708,5.672,three_toed
7.563,63.22,5.225,three_toed
8.003,63.146,3.655,three_toed
7.467,64.823,4.544,three_toed
7.483,63.974,5.24,three_toed
7.129,64.528,5.328,three_toed
7.154,64.282,4.861,three_toed
8.978,61.977,4.151,three_toed
7.268,61.703,4.935,three_toed
7.045,62.952,5.412,three_toed
6.674,64.169,4.574,three_toed
5.298,64.139,6.986,three_toed
6.765,64.484,7.348,three_toed
7.215,65.057,3.841,three_toed
9.341,63.135,5.712,three_toed
7.003,62.148,4.887,three_toed
7.126,62.356,2.835,three_toed
6.039,63.989,5.699,three_toed
7.652,63.205,6.265,three_toed
7.084,65.176,4.118,three_toed
6.884,62.845,4.214,three_toed
7.156,63.034,5.713,three_toed
6.631,63.738,5.652,three_toed
8.3,62.134,3.748,three_toed
7.669,62.638,4.821,three_toed
5.872,64.69,4.964,three_toed
7.196,63.364,4.786,three_toed
7.046,64.604,3.823,three_toed
6.4,65.015,6.268,three_toed
6.432,63.064,5.732,three_toed
8.349,63.066,4.642,three_toed
6.696,63.073,4.914,three_toed
6.143,62.76,6.698,three_toed
7.121,64.721,4.865,three_toed
7.888,62.333,4.663,three_toed
8.033,64.321,4.198,three_toed
8.434,63.629,4.738,three_toed
6.706,63.676,3.575,three_toed
7.79,62.203,3.814,three_toed
9.013,63.051,4.001,three_toed
7.715,63.971,5.733,three_toed
7.804,63.218,5.199,three_toed
8.154,63.618,2.526,three_toed
7.794,63.957,5.257,three_toed
6.647,63.525,4.101,three_toed
7.423,62.331,4.752,three_toed
8.15,63.207,3.58,three_toed
9.738,63.562,4.508,three_toed
6.19,61.987,4.331,three_toed
8.826,64.488,4.32,three_toed
9.383,64.055,5.889,three_toed
7.592,64.316,2.963,three_toed
6.946,64.423,4.242,three_toed
7.667,64.312,4.738,three_toed
7.6,62.699,5.579,three_toed
7.789,64.287,4.881,three_toed
7.69,62.524,5.805,three_toed
6.412,63.749,3.961,three_toed
5.7,61.946,4.257,three_toed
6.692,63.378,7.262,three_toed
7.455,62.357,4.629,three_toed
8.522,63.937,4.73,three_toed
7.804,64.829,4.566,three_toed
7.475,62.713,5.26,three_toed
7.662,64.995,5.33,three_toed
6.05,63.637,4.612,three_toed
8.303,64.857,5.493,three_toed
6.16,64.326,5.128,three_toed
9.38,65.837,4.894,three_toed
8.289,63.384,5.021,three_toed
7.931,64.22,3.006,three_toed
7.258,64.128,5.246,three_toed
9.019,61.702,4.898,three_toed
6.844,64.31,3.152,three_toed
7.525,61.507,3.361,three_toed
7.262,63.678,4.989,three_toed
5.693,62.684,4.545,three_toed
8.766,62.454,6.256,three_toed
6.098,64.251,3.006,three_toed
10.281,64.186,3.827,three_toed
6.57,64.369,6.378,three_toed
8.351,62.249,4.297,three_toed
7.854,64.309,5.848,three_toed
8.147,65.173,5.496,three_toed
8.664,61.723,5.507,three_toed
6.207,64.5,3.859,three_toed
7.142,64.038,4.171,three_toed
7.99,62.65,6.114,three_toed
6.3,63.686,4.376,three_toed
8.697,62.256,4.129,three_toed
5.876,65.015,3.224,three_toed
7.09,63.53,6.137,three_toed
9.365,62.094,4.321,three_toed
5.936,62.92,4.966,three_toed
8.32,64.523,4.952,three_toed
6.375,61.809,4.425,three_toed
7.072,63.023,6.715,three_toed
8.041,65.159,3.643,three_toed
8.914,64.757,4.681,three_toed
10,62.688,4.54,three_toed
6.807,63.262,4.576,three_toed
7.44,61.337,3.416,three_toed
7.539,64.871,4.196,three_toed
6.152,64.478,4.143,three_toed
8.561,64.593,3.687,three_toed
6.799,65.383,2.913,three_toed
8.206,61.442,6.036,three_toed
6.187,62.061,4.258,three_toed
8.921,64.373,3.808,three_toed
6.559,63.081,2.018,three_toed
6.67,63.702,5.91,three_toed
8.212,63.978,3.924,three_toed
8.134,62.468,4.536,three_toed
7.522,65.305,6.538,three_toed
8.702,63.607,4.333,three_toed
6.849,64.24,2.966,three_toed
5.097,60.906,4.095,three_toed
5.705,62.847,5.941,three_toed
7.986,62.981,5.936,three_toed
5.856,63.464,4.05,three_toed
7.1,61.642,4.956,three_toed
7.93,63.799,4.975,three_toed
8.129,64.019,4.641,three_toed
7.274,63.147,6.363,three_toed
8.294,62.804,4.934,three_toed
7.008,62.967,5.437,three_toed
7.242,63.616,5.43,three_toed
7.041,63.985,5.511,three_toed
7.579,63.101,4.174,three_toed
7.939,62.701,4.765,three_toed
8.118,65.036,3.319,three_toed
8.264,64.423,4.654,three_toed
7.491,63.17,4.316,three_toed
9.275,62.885,4.396,three_toed
8.77,61.936,4.868,three_toed
8.914,64.381,4.512,three_toed
9.255,63.147,6.084,three_toed
7.233,64.541,4.95,three_toed
7.249,63.532,2.677,three_toed
8.1,64.488,3.864,three_toed
6.139,62.8,5.208,three_toed
7.101,62.291,3.793,three_toed
9.211,62.639,4.396,three_toed
7.032,65.962,4.971,three_toed
7.906,63.639,6.189,three_toed
7.545,63.488,4.385,three_toed
8.861,63.503,4.157,three_toed
6.896,62.811,6.267,three_toed
6.546,64.309,4.593,three_toed
9.411,62.424,5.877,three_toed
6.086,63.904,5.909,three_toed
7.88,63.456,5.85,three_toed
7.935,62.824,5.196,three_toed
7.109,62.739,5.541,three_toed
6.366,63.424,5.847,three_toed
6.982,62.471,4.297,three_toed
6.905,63.459,4.851,three_toed
6.422,62.809,3.671,three_toed
7.062,64.996,3.396,three_toed
5.749,60.699,5.258,three_toed
7.144,64.116,3.936,three_toed
6.978,62.094,5.933,three_toed
7.124,63.765,7.195,three_toed
10.342,64.229,6.616,three_toed
7.808,62.714,5.5,three_toed
7.54,64.27,5.772,three_toed
7.917,63.753,4.952,three_toed
7.737,63.078,4.568,three_toed
6.369,63.83,4.088,three_toed
7.11,63.825,5.281,three_toed
7.09,62.236,5.794,three_toed
7.777,63.267,4.767,three_toed
7.809,63.268,5.056,three_toed
6.305,62.909,7.107,three_toed
7.316,64.309,5.996,three_toed
7.029,64.918,4.855,three_toed
6.638,62.981,4.398,three_toed
8.002,63.051,4.891,three_toed
7.03,63.156,4.234,three_toed
8.277,63.443,5.033,three_toed
7.546,62.909,5.521,three_toed
5.462,62.918,3.295,three_toed
8.975,64.295,4.873,three_toed
9.347,65.115,1.783,three_toed
10.511,63.946,6.559,three_toed
9.458,62.154,4.835,three_toed
6.782,62.818,6.381,three_toed
7.201,62.548,3.975,three_toed
5.918,63.596,4.245,three_toed
6.899,63.233,4.163,three_toed
9.422,64.178,6.34,three_toed
8.162,64.121,5.87,three_toed
6.633,63.959,5.569,three_toed
8.413,63.776,6.469,three_toed
5.004,63.055,4.889,three_toed
7.159,62.337,5.087,three_toed
6.973,63.342,4.631,three_toed
7.898,62.384,4.984,three_toed
7.887,63.452,4.724,three_toed
7.364,64.377,1.112,three_toed
6.403,62.647,3.505,three_toed
7.173,64.081,3.958,three_toed
8.808,63.704,3.732,three_toed
7.058,62.734,6.096,three_toed
8.866,63.967,5.276,three_toed
8.224,65.008,5.965,three_toed
8.159,62.576,4.359,three_toed
10.179,62.822,4.565,three_toed
7.466,63.895,4.655,three_toed
7.393,62.166,6.597,three_toed
8.105,63.257,4.561,three_toed
7.114,63.712,4.15,three_toed
8.817,63.353,4.418,three_toed
7.685,62.622,4.3,three_toed
7.864,63.248,5.351,three_toed
7.399,63.836,5.797,three_toed
8.667,62.118,5.001,three_toed
5.695,62.67,5.057,three_toed
7.455,61.481,4.66,three_toed
6.704,63.896,4.464,three_toed
6.418,61.505,5.916,three_toed
9.479,62.626,5.177,three_toed
4.999,63.586,4.697,three_toed
7.651,64.602,4.144,three_toed
7.92,63.145,6.4,three_toed
6.548,65.432,5.377,three_toed
6.795,63.084,4.928,three_toed
7.859,63.999,5.537,three_toed
8.304,63.249,5.101,three_toed
6.438,63.47,6.572,three_toed
8.185,61.542,5.006,three_toed
9.009,62.897,4.733,three_toed
6.8,63.232,4.807,three_toed
6.404,64.161,2.829,three_toed
7.871,65.494,5.609,three_toed
6.529,62.786,3.414,three_toed
7.001,63.95,4.135,three_toed
7.891,64.9,4.559,three_toed
7.808,62.75,4.235,three_toed
9.158,61.981,6.13,three_toed
9.035,64.503,6.355,three_toed
6.945,63.602,5.574,three_toed
8,61.541,5.084,three_toed
7.493,63.116,5.611,three_toed
7.125,63.416,5.327,three_toed
7.92,62.121,6.196,three_toed
6.501,63.341,3.629,three_toed
7.344,64.65,6.45,three_toed
7.757,63.232,5.619,three_toed
7.422,63.587,7.141,three_toed
7.966,62.811,5.366,three_toed
8.515,63.786,3.877,three_toed
7.49,63.146,3.996,three_toed
7.132,63.713,4.866,three_toed
6.511,63.052,4.992,three_toed
8.67,63.035,4.918,three_toed
6.351,63.3,4.343,three_toed
6.933,63.202,4.278,three_toed
6.466,62.332,5.011,three_toed
6.887,63.374,4.517,three_toed
8.308,63.154,4.604,three_toed
6.801,63.156,4.714,three_toed
6.789,63.724,5.594,three_toed
5.586,63.745,5.585,three_toed
6.412,62.971,6.572,three_toed
7.473,63.798,5.394,three_toed
7.17,64.941,6.17,three_toed
6.239,61.503,4.203,three_toed
7.98,62.666,6.315,three_toed
6.469,61.927,4.343,three_toed
7.185,62.947,5.168,three_toed
7.077,64.353,4.203,three_toed
9.263,62.408,5.778,three_toed
5.808,64.193,5.277,three_toed
7.763,64.659,4.189,three_toed
7.297,63.194,5.059,three_toed
8.459,63.871,5.24,three_toed
7.715,62.709,5.162,three_toed
7.758,65.701,5.385,three_toed
7.215,63.814,5.422,three_toed
8.997,62.35,3.767,three_toed
8.769,63.018,4.494,three_toed
7.973,61.903,4.718,three_toed
6.749,63.106,3.416,three_toed
6.005,64.841,3.863,three_toed
6.68,63.835,4.69,three_toed
7.324,61.995,5.34,three_toed
6.602,62.025,6.266,three_toed
6.878,65.231,5.506,three_toed
10.129,63.701,4.97,three_toed
7.477,61.589,4.921,three_toed
8.916,64.102,4.436,three_toed
7.552,64.627,4.559,three_toed
6.56,64.43,5.109,three_toed
7.692,63.042,4.008,three_toed
6.106,63.692,7.458,three_toed
9.388,63.418,5.632,three_toed
8.722,64.926,4.625,three_toed
9.257,64.876,4.895,three_toed
7.998,64.637,7.774,three_toed
7.898,61.238,3.078,three_toed
6.411,64.025,4.07,three_toed
7.831,63.953,3.835,three_toed
6.249,62.934,4.254,three_toed
7.252,62.93,5.532,three_toed
7.113,63.059,4.411,three_toed
8.391,63.367,3.113,three_toed
6.997,62.554,3.773,three_toed
7.537,63.452,6.1,three_toed
7.813,62.764,4.572,three_toed
7.86,63.164,7.401,three_toed
8.463,62.109,6.179,three_toed
7.526,64.741,4.681,three_toed
7.563,63.918,4.882,three_toed
8.192,63.859,6.606,three_toed
7.109,63.13,6.539,three_toed
7.51,61.77,4.534,three_toed
